date,FU666000105.Q,FU665013005.Q,FU664090005.Q,FU663020003.Q,FU662051003.Q,FU664022005.Q,FU663069103.Q,FU663061105.Q,FU663061703.Q,FU663062003.Q,FU663063005.Q,FU663069005.Q,FU663064103.Q,FU663092003.Q,FU663090005.Q,FU664190005.Q,FU662151003.Q,FU663163003.Q,FU664123005.Q,FU663168005.Q,FU153067005.Q,FU663164103.Q,FU663170003.Q,FU663178003.Q,FU663192003.Q,FU663190005.Q,FU663194005.Q,FU663193005.Q,FU662090205.Q,FU667005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,31.00,30.00,-1600.00,229.00,0.00,-1067.00,0.00,-964.00,0.00,0.00,-103.00,-658.00,-104.00,4.00,-4.00,-1597.00,0.00,0.00,-1610.00,-1649.00,39.00,0.00,15.00,3.00,3.00,-8.00,0.00,-8.00,0.00,4.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30.00,38.00,-792.00,-101.00,0.00,-743.00,0.00,-655.00,0.00,-97.00,9.00,42.00,10.00,6.00,-6.00,-788.00,0.00,0.00,-784.00,-711.00,-73.00,0.00,15.00,-7.00,3.00,-15.00,0.00,-15.00,0.00,-4.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36.00,39.00,485.00,-71.00,0.00,584.00,0.00,558.00,0.00,24.00,2.00,-31.00,3.00,8.00,-8.00,483.00,0.00,0.00,486.00,492.00,-6.00,0.00,10.00,-1.00,-2.00,-10.00,0.00,-10.00,0.00,-5.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,53.00,51.00,535.00,-68.00,0.00,53.00,0.00,-117.00,0.00,-15.00,185.00,364.00,186.00,8.00,-8.00,527.00,0.00,0.00,520.00,472.00,48.00,0.00,15.00,3.00,4.00,-15.00,0.00,-15.00,0.00,-6.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,58.00,62.00,389.00,145.00,0.00,-139.00,0.00,-117.00,0.00,118.00,-140.00,523.00,-140.00,10.00,-10.00,368.00,0.00,0.00,372.00,103.00,269.00,0.00,15.00,4.00,-8.00,-15.00,0.00,-15.00,0.00,-25.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51.00,48.00,-279.00,-30.00,0.00,-219.00,0.00,-273.00,0.00,14.00,40.00,-71.00,41.00,12.00,-12.00,-283.00,0.00,0.00,-279.00,-201.00,-78.00,0.00,10.00,-2.00,-2.00,-10.00,0.00,-10.00,0.00,-1.00
1952:Q1,13.00,11.00,-420.00,-8.00,0.00,-310.00,0.00,-122.00,0.00,-84.00,-104.00,1.00,-109.00,3.00,3.00,-419.00,0.00,0.00,-425.00,-280.00,-145.00,0.00,10.00,4.00,2.00,-10.00,0.00,-10.00,0.00,3.00
1952:Q2,13.00,11.00,840.00,-11.00,0.00,825.00,0.00,930.00,0.00,-100.00,-5.00,32.00,-22.00,3.00,13.00,840.00,0.00,0.00,836.00,889.00,-53.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00
1952:Q3,13.00,10.00,-662.00,-15.00,0.00,-865.00,0.00,-941.00,0.00,-130.00,206.00,11.00,216.00,4.00,-13.00,-661.00,0.00,0.00,-664.00,-646.00,-18.00,0.00,40.00,1.00,2.00,-40.00,0.00,-40.00,0.00,5.00
1952:Q4,14.00,11.00,631.00,-22.00,0.00,652.00,0.00,529.00,0.00,158.00,-35.00,37.00,-88.00,4.00,48.00,634.00,0.00,0.00,628.00,591.00,37.00,0.00,10.00,3.00,3.00,-10.00,0.00,-10.00,0.00,6.00
1953:Q1,13.00,14.00,-420.00,-19.00,0.00,-572.00,0.00,-501.00,0.00,-78.00,7.00,163.00,36.00,4.00,-32.00,-419.00,0.00,0.00,-416.00,-439.00,23.00,0.00,10.00,-6.00,3.00,-10.00,0.00,-10.00,0.00,0.00
1953:Q2,17.00,14.00,96.00,-20.00,0.00,-93.00,0.00,-63.00,0.00,-50.00,20.00,189.00,47.00,4.00,-31.00,98.00,0.00,0.00,97.00,195.00,-98.00,0.00,10.00,-4.00,5.00,-10.00,0.00,-10.00,0.00,5.00
1953:Q3,17.00,15.00,275.00,-18.00,0.00,319.00,0.00,281.00,0.00,0.00,38.00,-65.00,60.00,4.00,-25.00,275.00,0.00,0.00,270.00,246.00,24.00,0.00,10.00,1.00,4.00,-10.00,0.00,-10.00,0.00,3.00
1953:Q4,17.00,14.00,451.00,-17.00,0.00,468.00,0.00,214.00,0.00,330.00,-76.00,77.00,-112.00,4.00,31.00,452.00,0.00,0.00,438.00,393.00,45.00,0.00,0.00,10.00,4.00,0.00,0.00,0.00,0.00,3.00
1954:Q1,20.00,14.00,-429.00,1.00,0.00,-389.00,0.00,-197.00,0.00,-130.00,-62.00,22.00,-117.00,5.00,49.00,-430.00,0.00,0.00,-427.00,-505.00,78.00,0.00,10.00,-8.00,5.00,-10.00,0.00,-10.00,0.00,5.00
1954:Q2,24.00,14.00,785.00,16.00,0.00,519.00,0.00,426.00,0.00,0.00,93.00,157.00,45.00,5.00,43.00,779.00,0.00,0.00,766.00,719.00,47.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,0.00,4.00
1954:Q3,27.00,14.00,245.00,29.00,0.00,-112.00,0.00,-195.00,0.00,0.00,83.00,245.00,16.00,5.00,62.00,236.00,0.00,0.00,225.00,139.00,86.00,0.00,10.00,7.00,4.00,-10.00,0.00,-10.00,0.00,4.00
1954:Q4,23.00,14.00,443.00,36.00,0.00,9.00,0.00,-8.00,0.00,0.00,17.00,382.00,-52.00,5.00,63.00,438.00,0.00,0.00,441.00,340.00,101.00,0.00,0.00,-7.00,4.00,0.00,0.00,0.00,0.00,4.00
1955:Q1,17.00,15.00,-305.00,22.00,0.00,-485.00,0.00,-344.00,0.00,0.00,-141.00,299.00,-164.00,6.00,17.00,-304.00,0.00,0.00,-305.00,-308.00,3.00,0.00,0.00,-3.00,4.00,0.00,0.00,0.00,0.00,2.00
1955:Q2,18.00,17.00,222.00,2.00,0.00,32.00,0.00,-94.00,0.00,0.00,126.00,62.00,60.00,6.00,60.00,223.00,0.00,0.00,222.00,332.00,-110.00,0.00,0.00,-4.00,5.00,0.00,0.00,0.00,0.00,3.00
1955:Q3,18.00,18.00,-137.00,-17.00,0.00,-115.00,0.00,-10.00,0.00,0.00,-105.00,100.00,-153.00,6.00,42.00,-136.00,0.00,0.00,-146.00,-218.00,72.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,2.00
1955:Q4,19.00,19.00,535.00,-34.00,0.00,320.00,0.00,46.00,0.00,0.00,274.00,-25.00,252.00,6.00,16.00,536.00,0.00,0.00,525.00,611.00,-86.00,0.00,10.00,6.00,5.00,-10.00,0.00,-10.00,0.00,1.00
1956:Q1,19.00,13.00,-470.00,-22.00,0.00,-296.00,0.00,-153.00,0.00,0.00,-143.00,-9.00,-206.00,7.00,56.00,-469.00,0.00,0.00,-465.00,-538.00,73.00,0.00,10.00,-9.00,5.00,-10.00,0.00,-10.00,0.00,7.00
1956:Q2,19.00,13.00,-66.00,-6.00,0.00,-76.00,0.00,11.00,0.00,-100.00,13.00,3.00,38.00,7.00,-32.00,-67.00,0.00,0.00,-66.00,71.00,-137.00,0.00,10.00,-4.00,3.00,-10.00,0.00,-10.00,0.00,5.00
1956:Q3,21.00,14.00,-281.00,11.00,0.00,-198.00,0.00,-8.00,0.00,-100.00,-90.00,-5.00,-71.00,7.00,-25.00,-283.00,0.00,0.00,-290.00,-322.00,32.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,5.00
1956:Q4,20.00,14.00,238.00,25.00,0.00,148.00,0.00,129.00,0.00,0.00,19.00,45.00,10.00,7.00,3.00,237.00,0.00,0.00,233.00,218.00,15.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,6.00
1957:Q1,19.00,14.00,-666.00,21.00,0.00,-395.00,0.00,-130.00,0.00,-100.00,-165.00,-127.00,-128.00,8.00,-45.00,-667.00,0.00,0.00,-670.00,-603.00,-67.00,0.00,10.00,1.00,2.00,-10.00,0.00,-10.00,0.00,4.00
1957:Q2,19.00,14.00,308.00,9.00,0.00,89.00,0.00,-26.00,0.00,100.00,15.00,195.00,-21.00,8.00,28.00,306.00,0.00,0.00,308.00,309.00,-1.00,0.00,0.00,-3.00,1.00,0.00,0.00,0.00,0.00,3.00
1957:Q3,16.00,15.00,77.00,-4.00,0.00,160.00,0.00,136.00,0.00,0.00,24.00,-104.00,74.00,8.00,-57.00,76.00,0.00,0.00,72.00,53.00,19.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,1.00
1957:Q4,17.00,15.00,427.00,-17.00,0.00,535.00,0.00,226.00,0.00,100.00,209.00,-301.00,245.00,9.00,-44.00,426.00,0.00,0.00,419.00,358.00,61.00,0.00,10.00,6.00,1.00,-10.00,0.00,-10.00,0.00,1.00
1958:Q1,21.00,14.00,-38.00,-10.00,0.00,-134.00,0.00,-117.00,0.00,125.00,-142.00,249.00,-173.00,7.00,23.00,-41.00,0.00,0.00,-38.00,-95.00,57.00,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,0.00,5.00
1958:Q2,24.00,13.00,1292.00,0.00,0.00,720.00,0.00,535.00,0.00,45.00,140.00,432.00,87.00,8.00,45.00,1286.00,0.00,0.00,1284.00,1190.00,94.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,5.00
1958:Q3,26.00,13.00,-1428.00,12.00,0.00,-1165.00,0.00,-668.00,0.00,-155.00,-342.00,68.00,-423.00,8.00,72.00,-1435.00,0.00,0.00,-1441.00,-1512.00,71.00,0.00,10.00,6.00,0.00,-10.00,0.00,-10.00,0.00,6.00
1958:Q4,27.00,14.00,768.00,22.00,0.00,467.00,0.00,405.00,0.00,0.00,62.00,216.00,21.00,8.00,34.00,757.00,0.00,0.00,756.00,716.00,40.00,0.00,0.00,3.00,-2.00,0.00,0.00,0.00,0.00,3.00
1959:Q1,23.00,15.00,-645.00,19.00,0.00,-417.00,0.00,-196.00,0.00,60.00,-281.00,34.00,-287.00,9.00,-3.00,-652.00,0.00,0.00,-659.00,-775.00,116.00,0.00,10.00,5.00,3.00,-11.00,0.00,-11.00,0.00,1.00
1959:Q2,25.00,16.00,54.00,12.00,0.00,-106.00,0.00,-133.00,0.00,-25.00,52.00,97.00,40.00,9.00,2.00,46.00,0.00,0.00,48.00,202.00,-154.00,0.00,0.00,-3.00,2.00,-1.00,0.00,-1.00,0.00,1.00
1959:Q3,27.00,16.00,118.00,3.00,0.00,163.00,0.00,126.00,0.00,-70.00,107.00,-154.00,114.00,9.00,-17.00,108.00,0.00,0.00,95.00,182.00,-87.00,0.00,10.00,11.00,2.00,-10.00,0.00,-10.00,0.00,1.00
1959:Q4,27.00,16.00,573.00,-5.00,0.00,350.00,0.00,27.00,0.00,122.00,201.00,26.00,187.00,9.00,6.00,562.00,0.00,0.00,555.00,1944.00,-1389.00,0.00,0.00,4.00,1.00,2.00,0.00,2.00,0.00,0.00
1960:Q1,23.00,18.00,-1209.00,-1.00,0.00,-595.00,0.00,-270.00,0.00,-26.00,-299.00,-313.00,-263.00,10.00,-47.00,-1210.00,0.00,0.00,-1204.00,-841.00,-363.00,0.00,10.00,-14.00,8.00,-10.00,0.00,-10.00,0.00,5.00
1960:Q2,22.00,18.00,341.00,2.00,0.00,259.00,0.00,46.00,0.00,181.00,32.00,47.00,27.00,10.00,-4.00,340.00,0.00,0.00,335.00,511.00,-176.00,0.00,0.00,-3.00,8.00,0.00,0.00,0.00,0.00,3.00
1960:Q3,20.00,18.00,737.00,9.00,0.00,509.00,0.00,376.00,0.00,-7.00,140.00,78.00,163.00,10.00,-32.00,737.00,0.00,0.00,722.00,365.00,357.00,0.00,0.00,6.00,8.00,1.00,0.00,1.00,0.00,2.00
1960:Q4,22.00,18.00,660.00,14.00,0.00,486.00,0.00,441.00,0.00,-50.00,95.00,64.00,55.00,11.00,30.00,657.00,0.00,0.00,642.00,54.00,588.00,0.00,0.00,9.00,7.00,-1.00,0.00,-1.00,0.00,2.00
1961:Q1,25.00,19.00,-818.00,18.00,0.00,-684.00,0.00,-478.00,0.00,43.00,-249.00,373.00,-588.00,11.00,52.00,-829.00,0.00,0.00,-850.00,-195.00,-655.00,0.00,10.00,19.00,3.00,-11.00,0.00,-11.00,0.00,-5.00
1961:Q2,27.00,19.00,795.00,18.00,0.00,176.00,0.00,-26.00,0.00,61.00,141.00,460.00,141.00,12.00,-12.00,781.00,0.00,0.00,787.00,97.00,690.00,0.00,0.00,-6.00,2.00,-2.00,0.00,-2.00,0.00,-6.00
1961:Q3,28.00,19.00,42.00,16.00,0.00,142.00,0.00,246.00,0.00,-31.00,-73.00,-41.00,-79.00,12.00,-8.00,27.00,0.00,0.00,14.00,699.00,-685.00,0.00,0.00,10.00,2.00,1.00,0.00,1.00,0.00,-7.00
1961:Q4,22.00,20.00,929.00,12.00,0.00,518.00,0.00,542.00,0.00,-140.00,116.00,282.00,111.00,12.00,-6.00,919.00,0.00,0.00,923.00,1061.00,-138.00,0.00,0.00,-8.00,2.00,2.00,0.00,2.00,0.00,-8.00
1962:Q1,17.00,22.00,-708.00,2.00,0.00,-191.00,0.00,-163.00,0.00,146.00,-174.00,-344.00,-170.00,13.00,-18.00,-708.00,0.00,0.00,-716.00,-356.00,-360.00,0.00,10.00,3.00,5.00,-10.00,0.00,-10.00,0.00,-5.00
1962:Q2,15.00,23.00,-191.00,-7.00,0.00,116.00,0.00,-20.00,0.00,59.00,77.00,-378.00,83.00,13.00,-18.00,-188.00,0.00,0.00,-165.00,-815.00,650.00,0.00,0.00,-28.00,4.00,1.00,0.00,1.00,0.00,-5.00
1962:Q3,14.00,23.00,470.00,-15.00,0.00,46.00,0.00,24.00,0.00,-113.00,135.00,304.00,130.00,14.00,-9.00,473.00,0.00,0.00,476.00,364.00,112.00,0.00,10.00,-5.00,3.00,-11.00,0.00,-11.00,0.00,-6.00
1962:Q4,18.00,23.00,1212.00,-20.00,0.00,950.00,0.00,830.00,0.00,98.00,22.00,259.00,-3.00,14.00,12.00,1213.00,0.00,0.00,1215.00,1741.00,-526.00,0.00,0.00,-5.00,3.00,0.00,0.00,0.00,0.00,-4.00
1963:Q1,21.00,25.00,-1182.00,4.00,0.00,-1041.00,0.00,-928.00,0.00,113.00,-226.00,81.00,-240.00,15.00,-1.00,-1187.00,0.00,0.00,-1197.00,-597.00,-600.00,0.00,5.00,12.00,-1.00,-6.00,0.00,-6.00,0.00,-10.00
1963:Q2,23.00,26.00,957.00,3.00,0.00,49.00,0.00,-85.00,0.00,7.00,127.00,778.00,127.00,15.00,-15.00,949.00,0.00,0.00,949.00,393.00,556.00,0.00,0.00,0.00,-1.00,1.00,0.00,1.00,0.00,-12.00
1963:Q3,27.00,28.00,664.00,16.00,0.00,230.00,0.00,431.00,0.00,-149.00,-52.00,470.00,-58.00,16.00,-10.00,652.00,0.00,0.00,642.00,728.00,-86.00,0.00,5.00,12.00,-2.00,-5.00,0.00,-5.00,0.00,-13.00
1963:Q4,30.00,29.00,297.00,1.00,0.00,-281.00,0.00,-676.00,0.00,20.00,375.00,202.00,372.00,16.00,-13.00,282.00,0.00,0.00,279.00,431.00,-152.00,0.00,0.00,5.00,-2.00,0.00,0.00,0.00,0.00,-14.00
1964:Q1,30.00,35.00,-887.00,22.00,0.00,-442.00,0.00,-149.00,0.00,6.00,-299.00,-169.00,-325.00,17.00,10.00,-898.00,0.00,0.00,-899.00,-1892.00,993.00,0.00,10.00,-1.00,2.00,-10.00,0.00,-10.00,0.00,-16.00
1964:Q2,30.00,36.00,1023.00,-5.00,0.00,778.00,0.00,452.00,0.00,76.00,250.00,1.00,243.00,17.00,-11.00,1012.00,0.00,0.00,1015.00,2239.00,-1224.00,0.00,0.00,-6.00,2.00,1.00,0.00,1.00,0.00,-17.00
1964:Q3,31.00,37.00,-146.00,-5.00,0.00,307.00,0.00,514.00,0.00,77.00,-284.00,-163.00,-298.00,18.00,-5.00,-157.00,0.00,0.00,-168.00,-972.00,804.00,0.00,10.00,8.00,2.00,-9.00,0.00,-9.00,0.00,-18.00
1964:Q4,32.00,38.00,705.00,-3.00,0.00,110.00,0.00,-161.00,0.00,20.00,251.00,-154.00,752.00,19.00,-19.00,692.00,0.00,0.00,190.00,940.00,-750.00,0.00,0.00,2.00,2.00,498.00,0.00,498.00,0.00,-19.00
1965:Q1,34.00,45.00,-811.00,6.00,0.00,-570.00,0.00,-419.00,0.00,57.00,-208.00,-38.00,-219.00,19.00,-9.00,-837.00,0.00,0.00,-835.00,-902.00,67.00,0.00,10.00,7.00,-9.00,-10.00,0.00,-10.00,0.00,-37.00
1965:Q2,37.00,47.00,1448.00,11.00,0.00,1028.00,0.00,555.00,0.00,85.00,388.00,20.00,417.00,20.00,-48.00,1418.00,0.00,0.00,1431.00,1353.00,78.00,0.00,0.00,-3.00,-9.00,-1.00,0.00,-1.00,0.00,-40.00
1965:Q3,42.00,49.00,-1988.00,11.00,0.00,-1411.00,0.00,-915.00,0.00,-81.00,-415.00,-172.00,-505.00,21.00,68.00,-2023.00,0.00,0.00,-2032.00,-2162.00,130.00,0.00,10.00,18.00,-10.00,-9.00,0.00,-9.00,0.00,-42.00
1965:Q4,50.00,52.00,1838.00,2.00,0.00,728.00,0.00,487.00,0.00,-301.00,542.00,566.00,524.00,21.00,-3.00,1797.00,0.00,0.00,1796.00,1558.00,238.00,0.00,0.00,11.00,-10.00,0.00,0.00,0.00,0.00,-44.00
1966:Q1,48.00,43.00,-1226.00,19.00,0.00,-844.00,0.00,-173.00,0.00,-120.00,-551.00,151.00,-522.00,22.00,-52.00,-1243.00,0.00,0.00,-1258.00,-924.00,-334.00,0.00,10.00,8.00,8.00,-11.00,0.00,-11.00,0.00,-12.00
1966:Q2,50.00,44.00,1384.00,16.00,0.00,698.00,0.00,-91.00,0.00,285.00,504.00,166.00,534.00,23.00,-53.00,1368.00,0.00,0.00,1376.00,1037.00,339.00,0.00,10.00,-17.00,7.00,-8.00,0.00,-8.00,0.00,-11.00
1966:Q3,51.00,46.00,-1577.00,18.00,0.00,-708.00,0.00,75.00,0.00,-294.00,-489.00,-398.00,-373.00,24.00,-140.00,-1593.00,0.00,0.00,-1608.00,-1860.00,252.00,0.00,10.00,8.00,7.00,-10.00,0.00,-10.00,0.00,-10.00
1966:Q4,54.00,47.00,2356.00,20.00,0.00,1640.00,0.00,849.00,0.00,141.00,650.00,45.00,616.00,24.00,11.00,2338.00,0.00,0.00,2329.00,2341.00,-12.00,0.00,10.00,3.00,7.00,-11.00,0.00,-11.00,0.00,-12.00
1967:Q1,53.00,52.00,163.00,62.00,0.00,144.00,0.00,398.00,0.00,318.00,-572.00,529.00,-747.00,8.00,167.00,131.00,0.00,0.00,91.00,-736.00,827.00,0.00,10.00,38.00,-3.00,-5.00,0.00,-5.00,0.00,-31.00
1967:Q2,72.00,52.00,67.00,66.00,0.00,-1039.00,0.00,-1430.00,0.00,-145.00,536.00,504.00,525.00,9.00,2.00,10.00,0.00,0.00,38.00,-499.00,537.00,0.00,10.00,-24.00,-4.00,-10.00,0.00,-10.00,0.00,-37.00
1967:Q3,83.00,52.00,1455.00,38.00,0.00,292.00,0.00,275.00,0.00,-169.00,186.00,939.00,103.00,8.00,75.00,1382.00,0.00,0.00,1352.00,1075.00,277.00,0.00,10.00,36.00,-4.00,-12.00,0.00,-12.00,0.00,-42.00
1967:Q4,82.00,54.00,1760.00,40.00,0.00,256.00,0.00,-2.00,0.00,37.00,221.00,1242.00,230.00,9.00,-17.00,1687.00,0.00,0.00,1688.00,1105.00,583.00,0.00,10.00,6.00,-4.00,-13.00,0.00,-13.00,0.00,-45.00
1968:Q1,79.00,73.00,-1129.00,134.00,0.00,-379.00,0.00,-15.00,0.00,-52.00,-312.00,-571.00,-189.00,9.00,-133.00,-1180.00,0.00,0.00,-1226.00,-636.00,-590.00,0.00,10.00,50.00,2.00,-16.00,0.00,-16.00,0.00,-45.00
