date,FL574090055.Q,FL573020033.Q,FL573030033.Q,FL573034055.Q,FL572051033.Q,FL574022035.Q,FL573069133.Q,FL573061133.Q,FL573061733.Q,FL573063033.Q,FL573065033.Q,LM573064133.Q,LM573064255.Q,FL573090055.Q,FL573095505.Q,FL573074033.Q,FL573093033.Q,FL574090055.Q
1986:Q4,455466.00,1106.00,37299.00,10990.00,5868.00,86029.00,7738.00,23580.00,11096.00,43615.00,1189.00,150937.00,19878.00,142170.00,61292.00,7224.00,73654.00,455466.00
1987:Q1,499549.00,1081.00,33592.00,11194.00,5679.00,97410.00,8054.00,27223.00,15313.00,46820.00,1418.00,176585.00,25169.00,147421.00,68238.00,7624.00,71559.00,499549.00
1987:Q2,523955.00,1061.00,31649.00,12008.00,5789.00,95567.00,8830.00,27583.00,15516.00,43638.00,1388.00,194957.00,28247.00,153289.00,77104.00,8374.00,67811.00,523955.00
1987:Q3,568019.00,1046.00,28317.00,12337.00,5651.00,97626.00,9270.00,29110.00,16374.00,42872.00,1443.00,215288.00,31057.00,175254.00,86405.00,9474.00,79375.00,568019.00
1987:Q4,535617.00,1038.00,25388.00,12832.00,5585.00,96953.00,9853.00,29513.00,16600.00,40987.00,1441.00,185107.00,25292.00,181981.00,94512.00,10229.00,77240.00,535617.00
1988:Q1,555572.00,1188.00,29077.00,13450.00,5773.00,89091.00,9221.00,25845.00,17230.00,36795.00,1750.00,196551.00,27864.00,190828.00,98182.00,10429.00,82217.00,555572.00
1988:Q2,571557.00,1538.00,33815.00,14631.00,6120.00,89369.00,8852.00,26624.00,17749.00,36144.00,2354.00,201039.00,29711.00,192980.00,102772.00,10129.00,80079.00,571557.00
1988:Q3,567437.00,1838.00,37171.00,15113.00,6182.00,88676.00,8096.00,27093.00,18062.00,35425.00,3057.00,189020.00,29448.00,196932.00,103512.00,9229.00,84191.00,567437.00
1988:Q4,577118.00,2021.00,39687.00,15263.00,6105.00,87600.00,7239.00,27576.00,17412.00,35373.00,4037.00,185835.00,31769.00,204801.00,108749.00,9335.00,86717.00,577118.00
1989:Q1,602809.00,2196.00,43448.00,16048.00,6518.00,83893.00,7407.00,24286.00,18052.00,34148.00,3936.00,202254.00,34204.00,210312.00,113287.00,9919.00,87106.00,602809.00
1989:Q2,629518.00,2346.00,48808.00,17220.00,7149.00,86727.00,7785.00,25507.00,18143.00,35292.00,4225.00,216561.00,37733.00,208749.00,116577.00,10653.00,81519.00,629518.00
1989:Q3,659658.00,2471.00,51373.00,17420.00,7354.00,92027.00,7674.00,27780.00,19094.00,37479.00,4702.00,231941.00,41823.00,210547.00,119364.00,11402.00,79781.00,659658.00
1989:Q4,688709.00,2584.00,57548.00,18678.00,8059.00,95664.00,8059.00,29360.00,19477.00,38768.00,5056.00,240717.00,44413.00,215990.00,124584.00,12162.00,79244.00,688709.00
1990:Q1,687751.00,2509.00,60745.00,19649.00,8565.00,96948.00,8565.00,26565.00,21567.00,40251.00,4996.00,227686.00,44878.00,221775.00,131344.00,12936.00,77495.00,687751.00
1990:Q2,693108.00,2309.00,58689.00,18997.00,8331.00,104104.00,8331.00,28695.00,22863.00,44215.00,5334.00,231692.00,49974.00,213678.00,132449.00,13750.00,67479.00,693108.00
1990:Q3,676619.00,2359.00,57466.00,18694.00,8214.00,104849.00,8214.00,28750.00,22085.00,45800.00,5279.00,209602.00,45430.00,224726.00,137282.00,14574.00,72870.00,676619.00
1990:Q4,708546.00,2273.00,58911.00,19150.00,8478.00,105628.00,8478.00,28660.00,21163.00,47327.00,5193.00,231398.00,50727.00,226788.00,141223.00,15410.00,70155.00,708546.00
1991:Q1,758025.00,2198.00,56724.00,18268.00,8577.00,110537.00,8577.00,30183.00,21853.00,49924.00,5330.00,264544.00,59983.00,231864.00,146564.00,16344.00,68956.00,758025.00
1991:Q2,771837.00,2128.00,57652.00,18785.00,9164.00,112466.00,9164.00,30642.00,21480.00,51180.00,5278.00,260142.00,63746.00,242476.00,154162.00,17308.00,71006.00,771837.00
1991:Q3,808073.00,2058.00,60957.00,20128.00,10192.00,113918.00,10192.00,30819.00,20823.00,52084.00,5178.00,275599.00,71946.00,248097.00,160151.00,18292.00,69654.00,808073.00
1991:Q4,852773.00,1977.00,58949.00,19840.00,10374.00,118708.00,10374.00,32264.00,21435.00,54635.00,5269.00,304116.00,76993.00,256547.00,167229.00,19319.00,69999.00,852773.00
1992:Q1,851829.00,1932.00,56616.00,19944.00,10608.00,119640.00,10608.00,32468.00,20806.00,55758.00,5068.00,297251.00,82176.00,258594.00,170597.00,20322.00,67675.00,851829.00
1992:Q2,866762.00,1914.00,54099.00,20012.00,10807.00,118347.00,10807.00,32002.00,19507.00,56031.00,4778.00,307971.00,88608.00,260226.00,172468.00,21356.00,66402.00,866762.00
1992:Q3,900562.00,1897.00,53383.00,20744.00,11385.00,125976.00,11385.00,34109.00,20781.00,59701.00,4839.00,323630.00,92878.00,265830.00,177017.00,22459.00,66354.00,900562.00
1992:Q4,930211.00,1907.00,50970.00,20909.00,11625.00,128326.00,11625.00,34713.00,20553.00,61435.00,4696.00,342162.00,104343.00,265273.00,177997.00,23670.00,63606.00,930211.00
1993:Q1,984543.00,1947.00,50353.00,23125.00,12369.00,132806.00,12369.00,35302.00,20308.00,64827.00,4934.00,374630.00,113735.00,270644.00,184189.00,24757.00,61698.00,984543.00
1993:Q2,1008763.00,1984.00,48759.00,25182.00,12964.00,129808.00,12964.00,33698.00,17871.00,65275.00,4885.00,388540.00,124082.00,272559.00,188982.00,25844.00,57733.00,1008763.00
1993:Q3,1039085.00,2018.00,43227.00,25370.00,12510.00,141830.00,12510.00,36788.00,20128.00,72404.00,5470.00,402165.00,134302.00,272193.00,192445.00,26981.00,52767.00,1039085.00
1993:Q4,1056833.00,2048.00,41167.00,27473.00,12557.00,141110.00,12557.00,35972.00,18480.00,74101.00,4534.00,404033.00,146308.00,277603.00,198158.00,28617.00,50828.00,1056833.00
1994:Q1,1063863.00,2054.00,41222.00,29978.00,12730.00,141226.00,12730.00,38450.00,20124.00,69922.00,4626.00,386892.00,155683.00,289452.00,205100.00,30151.00,54201.00,1063863.00
1994:Q2,1094145.00,2060.00,39682.00,31613.00,12427.00,148043.00,12427.00,42884.00,23725.00,69007.00,5065.00,395982.00,164031.00,295242.00,211155.00,31643.00,52444.00,1094145.00
1994:Q3,1137168.00,2066.00,36383.00,31907.00,11509.00,150155.00,11509.00,42550.00,26225.00,69871.00,5711.00,416996.00,181254.00,301187.00,215563.00,33129.00,52495.00,1137168.00
1994:Q4,1125844.00,2194.00,34568.00,32903.00,10563.00,146066.00,10563.00,42564.00,28376.00,64563.00,3094.00,398043.00,193845.00,304568.00,218703.00,34131.00,51734.00,1125844.00
1995:Q1,1187304.00,2340.00,35285.00,33791.00,10742.00,147600.00,10742.00,42748.00,28818.00,65292.00,3261.00,419206.00,223200.00,311879.00,223246.00,35078.00,53555.00,1187304.00
1995:Q2,1245266.00,2485.00,34277.00,36321.00,10921.00,147293.00,10921.00,42656.00,28631.00,65085.00,3429.00,438384.00,253076.00,319080.00,227679.00,36026.00,55375.00,1245266.00
1995:Q3,1323603.00,2631.00,34567.00,37509.00,11101.00,141674.00,11101.00,40901.00,27399.00,62273.00,3596.00,472961.00,291332.00,328232.00,234064.00,36973.00,57195.00,1323603.00
1995:Q4,1388463.00,2786.00,34398.00,39385.00,11279.00,140209.00,11279.00,40463.00,27054.00,61413.00,3764.00,494005.00,324263.00,338374.00,241437.00,37921.00,59016.00,1388463.00
1996:Q1,1449973.00,2936.00,33058.00,42285.00,11459.00,145553.00,11459.00,42048.00,28158.00,63888.00,3930.00,514700.00,352479.00,343573.00,243870.00,38868.00,60835.00,1449973.00
1996:Q2,1487203.00,3086.00,32789.00,44041.00,11637.00,144873.00,11637.00,41727.00,28033.00,63476.00,4097.00,523700.00,373794.00,349186.00,246715.00,39815.00,62656.00,1487203.00
1996:Q3,1538689.00,3239.00,31731.00,46749.00,11817.00,143047.00,11817.00,40483.00,27319.00,63428.00,4265.00,540574.00,400726.00,356541.00,251301.00,40763.00,64477.00,1538689.00
1996:Q4,1632519.00,3302.00,28811.00,50847.00,13161.00,141638.00,13161.00,40233.00,27287.00,60957.00,4437.00,551971.00,445797.00,392555.00,281053.00,41710.00,69792.00,1632519.00
1997:Q1,1634036.00,3628.00,26018.00,55669.00,13298.00,145287.00,13298.00,40458.00,27452.00,64079.00,4668.00,535690.00,460916.00,388862.00,275069.00,41998.00,71795.00,1634036.00
1997:Q2,1808495.00,3802.00,24857.00,58111.00,13434.00,145379.00,13434.00,39613.00,26901.00,65431.00,4910.00,611338.00,543423.00,403241.00,287096.00,42291.00,73854.00,1808495.00
1997:Q3,1954749.00,4294.00,20006.00,65500.00,13571.00,146757.00,13571.00,39243.00,26629.00,67314.00,5164.00,671213.00,613004.00,415240.00,296682.00,42588.00,75970.00,1954749.00
1997:Q4,1948201.00,4249.00,23029.00,64462.00,14299.00,147840.00,14299.00,39004.00,26412.00,68125.00,4734.00,648915.00,618614.00,422059.00,297781.00,44725.00,79553.00,1948201.00
1998:Q1,2137934.00,3804.00,26149.00,65068.00,14626.00,154832.00,14626.00,41597.00,30517.00,68092.00,4785.00,739916.00,693227.00,435527.00,307973.00,46369.00,81185.00,2137934.00
1998:Q2,2138492.00,3349.00,30257.00,65607.00,14954.00,158037.00,14954.00,44044.00,28799.00,70240.00,4837.00,736244.00,692024.00,433183.00,302125.00,48181.00,82877.00,2138492.00
1998:Q3,1953548.00,2890.00,33372.00,66380.00,15222.00,163870.00,15222.00,45085.00,31048.00,72515.00,4982.00,633781.00,613979.00,419072.00,284467.00,50169.00,84436.00,1953548.00
1998:Q4,2238002.00,2828.00,36286.00,67566.00,15411.00,160602.00,15411.00,45997.00,26524.00,72670.00,4903.00,786502.00,733289.00,430615.00,296528.00,49570.00,84517.00,2238002.00
1999:Q1,2295934.00,3116.00,30538.00,71636.00,16401.00,162911.00,15974.00,43870.00,29343.00,73724.00,5355.00,784677.00,787324.00,433976.00,299896.00,46858.00,87222.00,2295934.00
1999:Q2,2402090.00,3344.00,25905.00,74451.00,16537.00,164767.00,16537.00,43338.00,30357.00,74535.00,5807.00,810336.00,862151.00,438792.00,304717.00,44147.00,89928.00,2402090.00
1999:Q3,2314564.00,3523.00,19069.00,79597.00,17101.00,166565.00,17101.00,43506.00,30577.00,75381.00,6259.00,728981.00,853336.00,440133.00,306064.00,41435.00,92634.00,2314564.00
1999:Q4,2527758.00,3979.00,16817.00,80143.00,17663.00,170903.00,17663.00,44228.00,32791.00,76221.00,6711.00,800459.00,983407.00,447676.00,313613.00,38724.00,95339.00,2527758.00
2000:Q1,2630310.00,4203.00,16626.00,80428.00,17994.00,179078.00,17994.00,44369.00,40932.00,75783.00,7020.00,839036.00,1033929.00,451996.00,315301.00,38652.00,98043.00,2630310.00
2000:Q2,2591984.00,4593.00,16789.00,80441.00,18704.00,173614.00,18704.00,44961.00,35967.00,73982.00,7373.00,817245.00,1028930.00,444295.00,303482.00,38345.00,102468.00,2591984.00
2000:Q3,2619983.00,5271.00,16033.00,83354.00,19962.00,172845.00,19962.00,47431.00,34881.00,70571.00,7767.00,818339.00,1054292.00,442120.00,295205.00,37801.00,109114.00,2619983.00
2000:Q4,2497318.00,6054.00,17744.00,84218.00,21599.00,171966.00,21599.00,46574.00,38426.00,65367.00,8206.00,747088.00,1009738.00,430705.00,276209.00,37022.00,117474.00,2497318.00
2001:Q1,2265656.00,4745.00,16897.00,80667.00,15101.00,177453.00,15101.00,48127.00,40193.00,74032.00,5663.00,692331.00,901083.00,371716.00,248897.00,42991.00,79828.00,2265656.00
2001:Q2,2369049.00,4746.00,16873.00,80473.00,14978.00,167806.00,14978.00,43397.00,39399.00,70032.00,5584.00,748560.00,946272.00,383757.00,263338.00,41751.00,78668.00,2369049.00
2001:Q3,2122549.00,4716.00,16739.00,80084.00,14701.00,159735.00,14701.00,44082.00,32489.00,68463.00,5552.00,664554.00,828813.00,347655.00,228817.00,40656.00,78182.00,2122549.00
2001:Q4,2249748.00,4638.00,16420.00,78527.00,14207.00,155264.00,14207.00,39511.00,37483.00,64063.00,5397.00,724647.00,884401.00,366247.00,252145.00,38200.00,75902.00,2249748.00
2002:Q1,2370501.00,4965.00,17686.00,79647.00,15865.00,167681.00,15861.00,45688.00,40291.00,65841.00,5819.00,747461.00,933929.00,397448.00,270631.00,44680.00,82137.00,2370501.00
2002:Q2,2174559.00,4998.00,17806.00,84686.00,15972.00,171989.00,15968.00,45544.00,39248.00,71229.00,5831.00,649895.00,860428.00,362954.00,235836.00,44794.00,82324.00,2174559.00
2002:Q3,1954427.00,5030.00,17920.00,87802.00,16074.00,182422.00,16070.00,46504.00,39915.00,79933.00,5793.00,542071.00,774873.00,322442.00,196241.00,44446.00,81755.00,1954427.00
2002:Q4,2051380.00,5064.00,18040.00,87945.00,16182.00,183228.00,16178.00,47735.00,38811.00,80504.00,5769.00,575675.00,829327.00,330150.00,204520.00,44230.00,81400.00,2051380.00
2003:Q1,2048897.00,5111.00,18207.00,86769.00,16331.00,184271.00,16327.00,49170.00,40377.00,78397.00,5832.00,606585.00,799410.00,326381.00,199241.00,44795.00,82345.00,2048897.00
2003:Q2,2287077.00,5140.00,18310.00,87061.00,16423.00,181948.00,16419.00,47817.00,40148.00,77564.00,5765.00,704380.00,916719.00,351331.00,225778.00,44193.00,81360.00,2287077.00
2003:Q3,2331152.00,5161.00,18387.00,87404.00,16493.00,182238.00,16489.00,47610.00,40311.00,77828.00,5769.00,710535.00,940065.00,365100.00,239457.00,44227.00,81416.00,2331152.00
2003:Q4,2546469.00,5172.00,18424.00,87431.00,16526.00,182181.00,16522.00,47597.00,40672.00,77390.00,5754.00,796660.00,1043669.00,390652.00,265376.00,44087.00,81189.00,2546469.00
2004:Q1,2579919.00,5171.00,18422.00,87323.00,16519.00,181079.00,16523.00,47665.00,40407.00,76484.00,5631.00,811485.00,1062356.00,391933.00,269598.00,42972.00,79363.00,2579919.00
2004:Q2,2601691.00,5180.00,18453.00,87535.00,16547.00,183862.00,16551.00,48322.00,41071.00,77918.00,5626.00,819220.00,1072888.00,392380.00,270158.00,42929.00,79293.00,2601691.00
2004:Q3,2586452.00,5194.00,18504.00,87802.00,16592.00,188655.00,16596.00,49407.00,42250.00,80402.00,5723.00,812753.00,1057512.00,393717.00,269178.00,43808.00,80731.00,2586452.00
2004:Q4,2816422.00,5210.00,18558.00,87985.00,16641.00,190744.00,16645.00,49654.00,43816.00,80629.00,5629.00,899104.00,1175166.00,417385.00,295084.00,42958.00,79343.00,2816422.00
2005:Q1,2795829.00,5229.00,18630.00,88368.00,16713.00,192243.00,16699.00,50099.00,44187.00,81258.00,5616.00,854632.00,1201131.00,413267.00,291288.00,42837.00,79142.00,2795829.00
2005:Q2,2887981.00,5246.00,18692.00,88711.00,16768.00,193948.00,16754.00,50152.00,44866.00,82176.00,5662.00,858233.00,1281631.00,419090.00,297691.00,43250.00,78149.00,2887981.00
2005:Q3,3024620.00,5280.00,18812.00,89376.00,16876.00,198732.00,16862.00,51083.00,46193.00,84594.00,5689.00,879666.00,1382051.00,428138.00,307751.00,43495.00,76892.00,3024620.00
2005:Q4,3140097.00,5323.00,18964.00,90123.00,17013.00,200593.00,16999.00,51422.00,46704.00,85468.00,5632.00,895005.00,1473602.00,433842.00,316406.00,42978.00,74458.00,3140097.00
2006:Q1,3288253.00,5376.00,19150.00,91102.00,17181.00,206173.00,17167.00,51841.00,49410.00,87755.00,5593.00,942648.00,1561222.00,439808.00,325514.00,42626.00,71668.00,3288253.00
2006:Q2,3254134.00,5424.00,19320.00,92264.00,17334.00,212529.00,17380.00,52323.00,52802.00,90024.00,5530.00,918315.00,1547174.00,436244.00,324673.00,42145.00,69426.00,3254134.00
2006:Q3,3385774.00,5477.00,19510.00,93423.00,17504.00,223338.00,17490.00,55778.00,56278.00,93792.00,5467.00,956810.00,1623287.00,440958.00,332042.00,41667.00,67249.00,3385774.00
2006:Q4,3443264.00,6215.00,2999.00,94409.00,0.00,153610.00,6999.00,22917.00,36515.00,87179.00,7011.00,825620.00,1692944.00,660456.00,343622.00,28806.00,288028.00,3443264.00
2007:Q1,3499886.00,6327.00,3053.00,96241.00,0.00,155280.00,7125.00,23350.00,36253.00,88552.00,7138.00,827308.00,1732638.00,671901.00,349365.00,29324.00,293212.00,3499886.00
2007:Q2,3661271.00,6439.00,3107.00,98145.00,0.00,156950.00,7251.00,23782.00,35992.00,89925.00,7264.00,867600.00,1831458.00,690308.00,362070.00,29843.00,298395.00,3661271.00
2007:Q3,3732414.00,6551.00,3161.00,100131.00,0.00,158620.00,7376.00,24215.00,35730.00,91299.00,7390.00,870112.00,1882617.00,703832.00,369892.00,30361.00,303579.00,3732414.00
2007:Q4,3660985.00,6662.00,3215.00,101949.00,0.00,160289.00,7502.00,24647.00,35468.00,92672.00,7516.00,831726.00,1841548.00,708080.00,368438.00,30880.00,308762.00,3660985.00
2008:Q1,3435820.00,6298.00,3384.00,107379.00,0.00,171406.00,7897.00,28393.00,40516.00,94600.00,7429.00,752022.00,1703113.00,684789.00,348096.00,30387.00,306306.00,3435820.00
2008:Q2,3418960.00,5934.00,3553.00,112450.00,0.00,182521.00,8291.00,32139.00,45563.00,96528.00,7343.00,739972.00,1691193.00,675994.00,342249.00,29894.00,303851.00,3418960.00
2008:Q3,3151475.00,5570.00,3722.00,117736.00,0.00,193638.00,8686.00,35885.00,50611.00,98456.00,7256.00,675407.00,1499695.00,648451.00,317655.00,29401.00,301395.00,3151475.00
2008:Q4,2726744.00,5206.00,3891.00,123710.00,0.00,204753.00,9080.00,39631.00,55658.00,100384.00,7169.00,548908.00,1221721.00,611386.00,283538.00,28909.00,298939.00,2726744.00
2009:Q1,2605822.00,5221.00,3809.00,121459.00,0.00,205883.00,8887.00,44247.00,55731.00,97018.00,7045.00,476998.00,1163782.00,621625.00,294327.00,28094.00,299204.00,2605822.00
2009:Q2,2895024.00,5235.00,3726.00,118594.00,0.00,207015.00,8694.00,48863.00,55805.00,93653.00,6921.00,543459.00,1352828.00,657246.00,330497.00,27279.00,299470.00,2895024.00
2009:Q3,3213029.00,5249.00,3643.00,115699.00,0.00,208145.00,8501.00,53479.00,55878.00,90287.00,6797.00,618420.00,1560101.00,694975.00,368776.00,26464.00,299735.00,3213029.00
2009:Q4,3331366.00,5263.00,3561.00,112956.00,0.00,209275.00,8308.00,58095.00,55951.00,86921.00,6674.00,640611.00,1633353.00,719673.00,394024.00,25649.00,300000.00,3331366.00
2010:Q1,3466309.00,5130.00,3518.00,111513.00,0.00,220701.00,8209.00,63701.00,56921.00,91870.00,7075.00,683469.00,1706866.00,728037.00,400666.00,26154.00,301217.00,3466309.00
2010:Q2,3277964.00,4997.00,3476.00,110137.00,0.00,232127.00,8110.00,69307.00,57891.00,96819.00,7476.00,611137.00,1593219.00,715395.00,386302.00,26659.00,302434.00,3277964.00
2010:Q3,3541821.00,4864.00,3433.00,108727.00,0.00,243553.00,8011.00,74913.00,58861.00,101768.00,7877.00,684633.00,1756681.00,732053.00,401237.00,27165.00,303651.00,3541821.00
2010:Q4,3764105.00,4731.00,3391.00,107273.00,0.00,254979.00,7912.00,80519.00,59831.00,106717.00,8277.00,767417.00,1872030.00,746007.00,413469.00,27670.00,304868.00,3764105.00
2011:Q1,3909703.00,5661.00,3529.00,111516.00,0.00,253620.00,8234.00,81887.00,57289.00,106210.00,7731.00,810338.00,1954088.00,763220.00,424819.00,27992.00,310409.00,3909703.00
2011:Q2,3927430.00,6591.00,3667.00,115827.00,0.00,252262.00,8557.00,83255.00,54747.00,105703.00,7186.00,804058.00,1965802.00,772037.00,427773.00,28314.00,315950.00,3927430.00
2011:Q3,3563081.00,7520.00,3806.00,120410.00,0.00,250905.00,8880.00,84624.00,52205.00,105196.00,6640.00,675706.00,1742400.00,755694.00,405567.00,28636.00,321491.00,3563081.00
2011:Q4,3766547.00,8450.00,3944.00,124661.00,0.00,249546.00,9202.00,85992.00,49663.00,104689.00,6094.00,750925.00,1847570.00,775357.00,419367.00,28958.00,327032.00,3766547.00
2012:Q1,4069864.00,8221.00,3836.00,121292.00,0.00,264283.00,8951.00,92865.00,52424.00,110043.00,6421.00,840501.00,2034176.00,791134.00,431745.00,28973.00,330416.00,4069864.00
2012:Q2,4002748.00,7993.00,3729.00,118140.00,0.00,279020.00,8700.00,99739.00,55184.00,115397.00,6748.00,807030.00,1988633.00,791455.00,428666.00,28989.00,333800.00,4002748.00
2012:Q3,4179937.00,7764.00,3621.00,114967.00,0.00,293758.00,8449.00,106612.00,57945.00,120752.00,7076.00,849322.00,2096253.00,807176.00,440988.00,29004.00,337184.00,4179937.00
2012:Q4,4221786.00,7536.00,3513.00,111829.00,0.00,308494.00,8198.00,113485.00,60705.00,126106.00,7403.00,842736.00,2125155.00,815120.00,445531.00,29020.00,340569.00,4221786.00
2013:Q1,4462910.00,7368.00,3570.00,113539.00,0.00,312358.00,8330.00,113653.00,60795.00,129580.00,7497.00,926020.00,2272509.00,820049.00,443065.00,29435.00,347549.00,4462910.00
2013:Q2,4512565.00,7201.00,3627.00,115452.00,0.00,316223.00,8463.00,113821.00,60885.00,133054.00,7592.00,941800.00,2293614.00,827056.00,442675.00,29851.00,354530.00,4512565.00
2013:Q3,4729268.00,7034.00,3684.00,117335.00,0.00,320087.00,8596.00,113989.00,60975.00,136527.00,7686.00,989568.00,2439276.00,844598.00,452821.00,30266.00,361511.00,4729268.00
2013:Q4,5003730.00,6867.00,3741.00,119069.00,0.00,323950.00,8729.00,114156.00,61064.00,140001.00,7781.00,1078821.00,2599626.00,863875.00,464702.00,30681.00,368492.00,5003730.00
2014:Q1,5057424.00,7143.00,3726.00,118715.00,0.00,325727.00,8694.00,114355.00,61171.00,141507.00,8170.00,1084790.00,2647925.00,861228.00,460430.00,30936.00,369862.00,5057424.00
2014:Q2,5202779.00,7420.00,3711.00,118354.00,0.00,327503.00,8660.00,114554.00,61277.00,143012.00,8559.00,1121383.00,2746171.00,869678.00,467257.00,31190.00,371231.00,5202779.00
2014:Q3,5153103.00,7696.00,3697.00,118016.00,0.00,329282.00,8626.00,114754.00,61384.00,144518.00,8948.00,1104801.00,2713061.00,867602.00,463557.00,31444.00,372601.00,5153103.00
2014:Q4,5239101.00,7973.00,3682.00,117613.00,0.00,331058.00,8591.00,114953.00,61490.00,146024.00,9337.00,1146359.00,2749841.00,873238.00,467568.00,31699.00,373971.00,5239101.00
2015:Q1,5473628.00,7278.00,4026.00,109776.00,0.00,337232.00,9615.00,123522.00,55919.00,148176.00,8278.00,1188168.00,2918341.00,900529.00,474693.00,31637.00,394199.00,5473628.00
2015:Q2,5481590.00,7395.00,4034.00,110823.00,0.00,340927.00,9721.00,125508.00,55139.00,150559.00,8370.00,1177538.00,2930534.00,901969.00,472721.00,31670.00,397578.00,5481590.00
2015:Q3,5196076.00,7814.00,4263.00,113400.00,0.00,349330.00,10174.00,128836.00,55769.00,154551.00,8507.00,1090255.00,2728733.00,893774.00,459789.00,31867.00,402118.00,5196076.00
2015:Q4,5362103.00,8203.00,4475.00,113315.00,0.00,354954.00,10579.00,130737.00,56034.00,157604.00,8590.00,1155392.00,2811460.00,905714.00,465802.00,31860.00,408052.00,5362103.00
2016:Q1,5429393.00,8659.00,4724.00,115278.00,0.00,359251.00,11061.00,132099.00,56054.00,160037.00,8723.00,1163474.00,2855520.00,913764.00,468610.00,32033.00,413121.00,5429393.00
2016:Q2,5531753.00,9161.00,4997.00,117337.00,0.00,364407.00,11591.00,133762.00,56195.00,162859.00,8877.00,1193366.00,2909021.00,924587.00,474403.00,32276.00,417908.00,5531753.00
