date,FA716902505.A,FA716330085.A,FA716902605.A,FA716025005.A,FA716020001.A,FA716401001.A,FA716240101.A,FA716402101.A,FA716140005.A,FA716402101.A,FA716150105.A,FA716130101.A,FA716121101.A,FA713092281.A,FA716150005.A,FA716130001.A,FA716120005.A,FA716121001.A,FA716122001.A,FA713192281.A,FA716112001.A,FA716140005.A,FA716220001.A,FA716403001.A,FA716012005.A,FA716012005.A,FA716006385.A,FA716012005.A,FA715440083.A,FA715015085.A,FA715013085.A,FA716330085.A,FA715000995.A,FA715000995.A,FA714090005.A,FA713011203.A,FA714000005.A,FA714022005.A,FA713069603.A,FA713061100.A,FA713061705.A,FA714041005.A,FA713064103.A,FA713096105.A,FA714190005.A,FA714100005.A,FA712151003.A,FA713164003.A,FA713193005.A,FA715000005.A,FV718090185.A,FV712010095.A,FV718090085.A,FU717005045.A,FR712010095.A,FR715013665.A,FR715013265.A,FR715013765.A,FR718200005.A,FC712090095.A,FL712000095.A,FL712010095.A,FL715013665.A,FL715013265.A,FL715013765.A,FL714090005.A,FL713011203.A,FL714000005.A,FL714022005.A,FL713069603.A,FL713061100.A,FL713061705.A,FL714041005.A,FL713064103.A,FL713096105.A,FL712100005.A,FL714190005.A,FL714100005.A,FL712151003.A,FL713164003.A,FL713193005.A,FL712090095.A
2001,2993.00,1072.00,1921.00,1352.00,1182.00,170.00,0.00,569.00,29545.00,569.00,30867.00,30867.00,0.00,0.00,1891.00,1463.00,428.00,428.00,0.00,0.00,0.00,29545.00,27089.00,634.00,1822.00,1822.00,1822.00,1822.00,0.00,-31.00,1041.00,1072.00,1853.00,1853.00,47023.00,-1.00,797.00,39852.00,0.00,39972.00,-120.00,6799.00,0.00,-424.00,46507.00,48800.00,0.00,376.00,-2669.00,516.00,-1337.00,0.00,0.00,1337.00,-14.00,152.00,-160.00,-6.00,-14.00,472.00,691990.00,9032.00,5115.00,3434.00,483.00,682958.00,11045.00,47439.00,551685.00,0.00,551675.00,10.00,50284.00,0.00,22505.00,691990.00,675647.00,668616.00,0.00,7373.00,-342.00,16343.00
2002,2520.00,967.00,1553.00,1454.00,1259.00,195.00,0.00,99.00,24223.00,99.00,25799.00,25799.00,0.00,0.00,1675.00,1191.00,484.00,484.00,0.00,0.00,0.00,24223.00,24495.00,635.00,-907.00,-907.00,-907.00,-907.00,0.00,-363.00,604.00,967.00,-544.00,-544.00,70691.00,-6.00,2332.00,77731.00,0.00,77731.00,0.00,-10744.00,0.00,1378.00,69622.00,47428.00,21091.00,1007.00,96.00,1069.00,1613.00,0.00,0.00,-1613.00,77.00,150.00,-68.00,-5.00,77.00,783.00,762395.00,8746.00,5258.00,2990.00,498.00,753649.00,11039.00,51838.00,629416.00,0.00,629406.00,10.00,39540.00,0.00,21816.00,762395.00,745269.00,716044.00,21091.00,8380.00,-246.00,17126.00
2003,1955.00,885.00,1070.00,1451.00,1282.00,169.00,0.00,-381.00,20791.00,-381.00,22858.00,22858.00,0.00,0.00,1686.00,1168.00,518.00,518.00,0.00,0.00,0.00,20791.00,22022.00,805.00,-2036.00,-2036.00,-2036.00,-2036.00,0.00,-239.00,646.00,885.00,-1797.00,-1797.00,43190.00,0.00,385.00,37249.00,0.00,37259.00,-10.00,4272.00,0.00,1284.00,42723.00,37999.00,4561.00,467.00,-304.00,467.00,2264.00,0.00,0.00,-2264.00,119.00,137.00,-13.00,-5.00,119.00,347.00,805465.00,8626.00,5419.00,2691.00,516.00,796839.00,11039.00,54892.00,666665.00,0.00,666665.00,0.00,43812.00,0.00,20431.00,805465.00,787992.00,754043.00,25652.00,8847.00,-550.00,17473.00
2004,2162.00,861.00,1301.00,1479.00,1305.00,174.00,0.00,-178.00,20618.00,-178.00,22616.00,22616.00,0.00,0.00,1820.00,1238.00,582.00,582.00,0.00,0.00,0.00,20618.00,18078.00,776.00,1764.00,1764.00,1764.00,1764.00,0.00,-21.00,841.00,861.00,1785.00,1785.00,44437.00,2.00,2518.00,51154.00,0.00,51154.00,0.00,-10769.00,0.00,1533.00,41653.00,32296.00,5131.00,3067.00,1159.00,2784.00,999.00,0.00,0.00,-999.00,574.00,518.00,56.00,-1.00,574.00,3337.00,850455.00,9179.00,5998.00,2582.00,599.00,841276.00,11041.00,58598.00,717819.00,0.00,717819.00,0.00,33043.00,0.00,20775.00,850455.00,829645.00,786339.00,30783.00,11914.00,609.00,20810.00
2005,2134.00,838.00,1296.00,1537.00,1335.00,202.00,0.00,-241.00,26430.00,-241.00,29249.00,29249.00,0.00,0.00,2578.00,1797.00,781.00,781.00,0.00,0.00,0.00,26430.00,21468.00,743.00,4219.00,4219.00,4219.00,4219.00,0.00,-284.00,554.00,838.00,4503.00,4503.00,37383.00,-2.00,391.00,26396.00,0.00,26396.00,0.00,13779.00,0.00,-3181.00,36098.00,33607.00,-278.00,1622.00,1147.00,1285.00,-3218.00,0.00,0.00,3218.00,650.00,626.00,17.00,7.00,650.00,1651.00,888204.00,9545.00,6612.00,2356.00,577.00,878659.00,11039.00,56240.00,744215.00,0.00,744215.00,0.00,46822.00,0.00,20343.00,888204.00,865743.00,819946.00,30505.00,13536.00,1756.00,22461.00
2006,2014.00,818.00,1196.00,1636.00,1438.00,198.00,0.00,-440.00,33125.00,-440.00,36833.00,36833.00,0.00,0.00,3268.00,2397.00,871.00,871.00,0.00,0.00,0.00,33125.00,29052.00,793.00,3280.00,3280.00,3280.00,3280.00,0.00,-6.00,812.00,818.00,3286.00,3286.00,29560.00,-2.00,797.00,34700.00,0.00,34700.00,0.00,-6005.00,0.00,70.00,27151.00,24814.00,-890.00,1789.00,1438.00,2409.00,-877.00,0.00,0.00,877.00,594.00,557.00,27.00,11.00,594.00,2997.00,918352.00,10133.00,7206.00,2278.00,649.00,908219.00,11037.00,58224.00,778915.00,0.00,778915.00,0.00,40817.00,0.00,19226.00,918352.00,892894.00,844760.00,29615.00,15325.00,3194.00,25458.00
2007,2018.00,826.00,1192.00,1748.00,1537.00,211.00,0.00,-556.00,36597.00,-556.00,40944.00,40944.00,0.00,0.00,3791.00,2799.00,992.00,992.00,0.00,0.00,0.00,36597.00,34598.00,872.00,1127.00,1127.00,1127.00,1127.00,0.00,119.00,945.00,826.00,1008.00,1008.00,42712.00,0.00,1284.00,-38304.00,0.00,-38304.00,0.00,78319.00,0.00,1414.00,39588.00,23119.00,14370.00,3125.00,-1026.00,3124.00,2116.00,0.00,0.00,-2116.00,316.00,304.00,4.00,8.00,316.00,3559.00,961499.00,10568.00,7713.00,2177.00,678.00,950931.00,11037.00,61473.00,740611.00,0.00,740611.00,0.00,119136.00,0.00,18674.00,961499.00,932482.00,867879.00,43985.00,18450.00,2168.00,29017.00
2008,3409.00,819.00,2590.00,1949.00,1716.00,233.00,0.00,641.00,35189.00,641.00,38916.00,38916.00,0.00,0.00,4368.00,3178.00,1190.00,1190.00,0.00,0.00,0.00,35189.00,31689.00,853.00,2647.00,2647.00,2647.00,2647.00,0.00,-151.00,668.00,819.00,2798.00,2798.00,1319808.00,0.00,-850.00,-244982.00,0.00,-264690.00,19708.00,1564698.00,0.00,942.00,1317181.00,1270179.00,44367.00,2626.00,9.00,2627.00,-171.00,0.00,0.00,171.00,572.00,504.00,61.00,7.00,572.00,3048.00,2281728.00,10989.00,8198.00,2122.00,669.00,2270739.00,11037.00,62921.00,495629.00,0.00,475921.00,19708.00,1683834.00,0.00,17318.00,2281728.00,2249663.00,2138058.00,88352.00,21076.00,2177.00,32065.00
2009,2540.00,822.00,1718.00,2058.00,1825.00,233.00,0.00,-340.00,47258.00,-340.00,53314.00,53314.00,0.00,0.00,5716.00,4288.00,1428.00,1428.00,0.00,0.00,0.00,47258.00,47430.00,888.00,-1060.00,-1060.00,-1060.00,-1060.00,0.00,-36.00,787.00,822.00,-1025.00,-1025.00,-4535.00,0.00,3749.00,1349209.00,0.00,300667.00,1048542.00,-1434112.00,25106.00,51514.00,-9100.00,-3409.00,-10620.00,4564.00,365.00,4565.00,5590.00,0.00,0.00,-5590.00,-364.00,-339.00,-21.00,-4.00,-364.00,4166.00,2276794.00,10590.00,7796.00,2045.00,749.00,2266204.00,11037.00,65733.00,1844838.00,0.00,776588.00,1068250.00,249722.00,25106.00,69768.00,2276794.00,2240563.00,2134649.00,77732.00,25640.00,2542.00,36231.00
2010,2517.00,828.00,1689.00,2091.00,1846.00,245.00,0.00,-402.00,71655.00,-402.00,78486.00,78486.00,0.00,0.00,6429.00,4846.00,1583.00,1583.00,0.00,0.00,0.00,71655.00,79268.00,1087.00,-8700.00,-8700.00,-8700.00,-8700.00,0.00,-160.00,668.00,828.00,-8540.00,-8540.00,185461.00,0.00,1782.00,316256.00,0.00,244905.00,71351.00,-151369.00,1279.00,17513.00,184578.00,173902.00,-18029.00,884.00,27821.00,883.00,9423.00,0.00,0.00,-9423.00,38.00,15.00,21.00,2.00,38.00,761.00,2462133.00,10468.00,7675.00,2024.00,769.00,2451665.00,11037.00,68113.00,2161094.00,0.00,1021493.00,1139601.00,98353.00,26385.00,86683.00,2462133.00,2425141.00,2308551.00,59703.00,26524.00,30363.00,36992.00
2011,2787.00,818.00,1969.00,2032.00,1784.00,248.00,0.00,-63.00,76562.00,-63.00,84549.00,84549.00,0.00,0.00,7924.00,6347.00,1577.00,1577.00,0.00,0.00,0.00,76562.00,75424.00,1403.00,-265.00,-265.00,-265.00,-265.00,0.00,-222.00,597.00,818.00,-44.00,-44.00,493573.00,0.00,1097.00,444029.00,0.00,641953.00,-197924.00,32156.00,-26385.00,42676.00,493198.00,480164.00,40197.00,375.00,-27538.00,375.00,419.00,0.00,0.00,-419.00,324.00,285.00,33.00,5.00,324.00,477.00,2955808.00,10570.00,7825.00,1990.00,755.00,2945238.00,11037.00,69339.00,2605123.00,0.00,1663446.00,941677.00,130509.00,0.00,129230.00,2955808.00,2918339.00,2788715.00,99900.00,26899.00,2825.00,37469.00
2012,2637.00,830.00,1807.00,2006.00,1768.00,238.00,0.00,-199.00,72369.00,-199.00,80941.00,80941.00,0.00,0.00,8373.00,6735.00,1638.00,1638.00,0.00,0.00,0.00,72369.00,88418.00,1600.00,-17649.00,-17649.00,-17649.00,-17649.00,0.00,9.00,839.00,830.00,-17658.00,-17658.00,9724.00,0.00,903.00,64467.00,0.00,2699.00,61768.00,-120994.00,0.00,65349.00,9263.00,-1985.00,7288.00,461.00,3499.00,461.00,18104.00,-15.00,0.00,-18119.00,116.00,101.00,13.00,2.00,116.00,571.00,2965642.00,10680.00,7842.00,2010.00,828.00,2954962.00,11037.00,69002.00,2669590.00,0.00,1666145.00,1003445.00,9515.00,0.00,195818.00,2965642.00,2927602.00,2786730.00,107188.00,27360.00,6324.00,38040.00
2013,3291.00,839.00,2452.00,2158.00,1895.00,263.00,0.00,294.00,80568.00,294.00,90509.00,90509.00,0.00,0.00,10235.00,8586.00,1649.00,1649.00,0.00,0.00,0.00,80568.00,79633.00,1845.00,-910.00,-910.00,-910.00,-910.00,0.00,-218.00,621.00,839.00,-692.00,-692.00,1118805.00,0.00,425.00,1086568.00,0.00,542630.00,543938.00,-9072.00,0.00,40885.00,1118658.00,900104.00,208736.00,147.00,9671.00,147.00,839.00,0.00,0.00,-839.00,254.00,224.00,21.00,9.00,254.00,183.00,4084483.00,10716.00,7926.00,1977.00,813.00,4073767.00,11037.00,68104.00,3756158.00,0.00,2208775.00,1547383.00,443.00,0.00,238025.00,4084483.00,4046260.00,3686834.00,315924.00,27507.00,15995.00,38223.00
2014,4176.00,841.00,3335.00,2260.00,1974.00,286.00,0.00,1075.00,104366.00,1075.00,115935.00,115935.00,0.00,0.00,12644.00,10958.00,1686.00,1686.00,0.00,0.00,0.00,104366.00,96902.00,1864.00,5600.00,5600.00,5600.00,5600.00,0.00,-106.00,735.00,841.00,5706.00,5706.00,481620.00,0.00,1437.00,480715.00,0.00,252589.00,228126.00,1230.00,0.00,-1762.00,480555.00,283186.00,193913.00,1065.00,2391.00,1065.00,-4641.00,0.00,0.00,4641.00,204.00,184.00,24.00,-4.00,204.00,1163.00,4566201.00,10814.00,7990.00,1987.00,837.00,4555387.00,11037.00,66669.00,4236873.00,0.00,2461364.00,1775509.00,1673.00,0.00,239135.00,4566201.00,4526815.00,3970020.00,509837.00,28572.00,18386.00,39386.00
2015,4087.00,856.00,3231.00,2363.00,2069.00,294.00,0.00,868.00,101568.00,868.00,113610.00,113610.00,0.00,0.00,12910.00,11167.00,1743.00,1743.00,0.00,0.00,0.00,101568.00,117099.00,1884.00,-17415.00,-17415.00,-17415.00,-17415.00,0.00,-56.00,801.00,856.00,-17360.00,-17360.00,-13275.00,0.00,1887.00,5084.00,0.00,188.00,4896.00,-561.00,0.00,-19684.00,5297.00,-197870.00,202564.00,879.00,-276.00,-18572.00,-1213.00,0.00,0.00,1213.00,151.00,149.00,0.00,1.00,151.00,-18477.00,4553021.00,10909.00,8034.00,2001.00,874.00,4542112.00,11037.00,67035.00,4241957.00,0.00,2461552.00,1780405.00,1112.00,0.00,220971.00,4553021.00,4532112.00,3772150.00,712401.00,29451.00,18110.00,20909.00
